doc_id,true_label,pred_label,correct,text_len,num_nodes,num_edges,source,model
0,1,1,True,225,137,227,chat,meta-llama/Llama-2-70b-chat-hf
1,0,0,True,123,73,105,chat,human
2,0,1,False,17,19,20,chat,human
3,0,0,True,362,185,362,how-to,human
4,0,1,False,157,97,151,chat,human
5,1,1,True,140,87,111,chat,gpt-3.5-turbo-instruct
6,1,1,True,157,94,148,how-to,meta-llama/Llama-2-70b-chat-hf
7,1,1,True,16,17,16,chat,gpt-4
8,1,1,True,195,118,189,how-to,meta-llama/Llama-2-70b-chat-hf
9,1,1,True,437,258,419,how-to,gpt-4
10,0,0,True,128,78,128,how-to,human
11,1,1,True,432,209,385,how-to,gpt-3.5-turbo-instruct
12,0,1,False,10,10,9,chat,human
13,1,1,True,427,216,398,how-to,gpt-3.5-turbo-instruct
14,1,1,True,433,192,402,how-to,gpt-4
15,1,1,True,416,185,356,how-to,cohere.command-text-v14
16,1,1,True,13,15,15,chat,meta-llama/Llama-2-70b-chat-hf
17,0,1,False,10,12,11,chat,human
18,1,1,True,82,60,81,how-to,ai21.j2-ultra-v1
19,0,0,True,368,201,366,how-to,human
20,0,1,False,19,15,16,chat,human
21,0,0,True,14,17,18,chat,human
22,0,0,True,376,185,348,how-to,human
23,1,1,True,46,40,49,chat,gpt-3.5-turbo-instruct
24,1,1,True,40,37,42,how-to,ai21.j2-ultra-v1
25,0,1,False,88,55,81,how-to,human
26,1,1,True,107,73,103,how-to,meta-llama/Llama-2-70b-chat-hf
27,0,1,False,27,22,20,how-to,human
28,1,1,True,304,163,309,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
29,1,1,True,215,98,186,chat,cohere.command-text-v14
30,0,1,False,378,203,373,how-to,human
31,1,1,True,184,122,181,chat,ai21.j2-ultra-v1
32,0,1,False,207,129,205,how-to,human
33,1,1,True,137,81,131,how-to,cohere.command-text-v14
34,1,1,True,335,200,342,how-to,gpt-4
35,1,1,True,90,56,77,how-to,ai21.j2-ultra-v1
36,0,0,True,437,249,443,how-to,human
37,1,1,True,10,11,12,chat,meta-llama/Llama-2-70b-chat-hf
38,0,1,False,16,15,11,chat,human
39,1,0,False,254,121,210,chat,cohere.command-text-v14
40,0,0,True,240,122,203,how-to,human
41,1,1,True,19,20,19,chat,gpt-4
42,0,1,False,40,37,41,chat,human
43,0,1,False,188,110,174,chat,human
44,1,1,True,218,133,205,how-to,cohere.command-text-v14
45,0,1,False,171,91,136,chat,human
46,1,1,True,425,235,435,how-to,gpt-4
47,0,1,False,157,103,162,chat,human
48,0,1,False,404,210,387,how-to,human
